KIC,average_epsilon,1 Half,2 Half
66231538,0.0018486181313348477,0.0025146366269620667,0.0011828099352010379
6606229,0.0027518318435858996,0.0013427684516250807,0.004160411851878807
6963490,-0.003670897109737982,-0.01277371429284425,0.005429034869823721
7300184,0.0009605540978094803,0.001476931405241097,0.0004441767903778636
7900367,-0.001218930980256914,-0.0014070024551953145,-0.0010308595053185139
7915515,-0.004203536755335292,-0.003702811486102113,-0.00470426202456847
9851822,0.0009634059696679732,0.00042067708412925266,0.0015061348552066938
10350769,0.01680453255833387,0.011572990889631811,0.022036074227035927
10355055,-0.0027984553077536264,-0.0014211092226731501,-0.004175026732493788
10415087,-0.009464155628458702,-0.0035273146420822213,-0.015400996614835181
11027806,-0.00023546625257264413,0.00019639804399488976,-0.000667330549140178
11769929,0.0033318743047058026,0.004652269862405236,0.002011478747006369
12216817,-0.00969501772686328,-0.000993377243784487,-0.01839338937429854
1849235,-0.0013074253295227737,-0.0032170071647061003,0.0006021565056605528
3424493,-0.10932238558115531,-0.10571803811035403,-0.1129267330519566
3648131,-6.545733588001933e-05,0.0001675236729996696,-0.0002983588290570189
3965879,0.043461255623390836,0.062907571408162,0.02402184058943045
4072890,0.008680413523838177,0.007947087663298857,0.009413471649488657
8264404,0.027198164577374256,0.027198822507605372,0.027197506870624878
8330102,-0.005654652341815834,-0.006701548607454611,-0.004608086223217624
8453431,-0.0008635964949620685,-4.542493025283534e-05,-0.0016814894857643526
8493159,-0.0020212082703308406,-0.0014627628875573677,-0.002579653653104313
8585472,0.0009873129592040018,-0.00032752815780290475,0.002301706394523129
8845312,-0.00033950617465849123,0.0009462109431167882,-0.0016247856759879656
9050337,-0.00035920300610378935,-0.001188374545715267,0.00046968592562097696
4544967,-0.0035474458751723545,-0.004762815351170164,-0.002332492336709109
4569150,-0.0014570380830331681,0.002499244795862036,-0.0054119254476853755
4577647,0.0018430733159145432,0.0030403306297290553,0.0006458160021000312
4940217,-0.011357730108423959,-0.02445218262946993,0.001736722412622012
5108514,0.013729195000624101,0.01627585229479603,0.011182537706452169
5358323,0.001125645840180372,0.000588494852608518,0.0016627968277522264
5900260,0.0005947438135586598,-0.001017861149366266,0.002207348776483586
9051991,-0.0013953354249156436,-9.257119106634213e-05,-0.002697656240033206
9306095,0.005375641231751991,-0.0021391937756860924,0.012887747540930293
9368220,0.003311580031299731,-0.0029950362053847122,0.009618196267984176
9368524,0.0005947114908913093,0.0009556098667186819,0.00023392710697038894
9649801,0.000729706170706385,0.0010429373250717068,0.0004165816300763816
9775887,-0.04191160169820015,-0.04280579710716449,-0.0410174062892358
9532219,0.023609589928382625,0.02367843253712855,0.023540747319636696
9594189,-0.028708944222536316,0.06324159343487683,-0.12063029123307409
